species_tax_id	cell_diameter	cell_length	doubling_h	growth_tmp	optimum_tmp	optimum_ph	genome_size	gc_content	coding_genes	rRNA16S_genes	tRNA_genes	gram_stain	sporulation	motility	range_salinity	facultative_respiration	anaerobic_respiration	aerobic_respiration	mesophilic_range_tmp	thermophilic_range_tmp	psychrophilic_range_tmp	bacillus_cell_shape	coccus_cell_shape	filament_cell_shape	coccobacillus_cell_shape	vibrio_cell_shape	spiral_cell_shape
797419	0.3010299956639812	0.6283889300503115	NA	28	30	7.75	3531212	NA	NA	NA	NA	NA	0	0	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
1036180	-0.12493873660829993	0.3222192947339193	NA	NA	29	7	6000972	NA	NA	NA	NA	NA	0	1	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
1082	-0.3010299956639812	0.5440680443502757	NA	28	30	NA	3760752	63.9	NA	NA	NA	0	0	1	1	0	1	0	NA	NA	NA	0	0	0	0	0	1
28237	-0.22184874961635637	0.3010299956639812	1.2193225084193366	55	55	NA	2214022	NA	NA	NA	NA	0	0	0	NA	0	1	0	NA	NA	NA	1	0	0	0	0	0
33998	NA	NA	NA	34.333	NA	NA	3964820	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
106588	-0.1549019599857432	0.20411998265592482	NA	37	37	NA	4241464.5	59.115	NA	NA	NA	NA	0	0	NA	0	1	0	1	0	0	1	0	0	0	0	0
762845	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	1	0	0	NA	NA	NA	0	1	0	0	0	0
70995	-0.5228787452803376	0.07918124604762482	NA	27.5	25	7	7298098.5	45	NA	NA	NA	0	NA	NA	NA	0	0	1	1	0	0	1	0	0	0	0	0
76123	-0.3010299956639812	0.3424226808222063	NA	37	NA	NA	2845949.2	46.5	2348.667	3	51	0	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
271156	-0.5228787452803376	0.20411998265592482	2.251078264484002	15.3	17	NA	3397857	NA	NA	NA	NA	0	0	0	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
2127	NA	NA	NA	37	NA	NA	902877	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
294671	-0.5228787452803376	-0.5228787452803376	NA	37	36	7.5	2181504.5	26.9	1806	2	34	1	NA	0	NA	0	1	0	NA	NA	NA	0	1	0	0	0	0
301141	-0.2596373105057561	1.105510184769974	NA	60	57.5	6.5	NA	NA	NA	NA	NA	0	0	0	NA	0	1	0	NA	NA	NA	1	0	0	0	0	0
748831	-0.045757490560675115	0.43933269383026263	NA	30	28	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0	1	NA	NA	NA	0	0	0	1	0	0
453582	-0.07058107428570727	0.24303804868629442	NA	28	30	7	3841266.5	NA	NA	NA	NA	0	NA	1	NA	0	1	0	NA	NA	NA	1	0	0	0	0	0
1163776	-0.2596373105057561	-0.2596373105057561	NA	28	30	8.5	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	1	NA	NA	NA	0	1	0	0	0	0
28119	-0.22184874961635637	-0.09691001300805639	NA	37	NA	NA	3310001.5	47.5	2594	NA	60	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
373043	NA	NA	NA	29	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
1287068	NA	NA	NA	28	30	8	NA	NA	NA	NA	NA	NA	1	NA	NA	0	0	1	NA	NA	NA	0	1	0	0	0	0
395937	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
112140	-0.3010299956639812	0.17609125905568124	NA	28	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
481353	-0.3467874862246563	0.2787536009528289	NA	30	37	8	NA	NA	NA	NA	NA	1	1	1	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
1218801	-0.1549019599857432	0.46982201597816303	NA	NA	20	8	NA	NA	NA	NA	NA	NA	NA	0	NA	1	0	0	NA	NA	NA	1	0	0	0	0	0
204072	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
345663	NA	NA	NA	25	NA	NA	4035667	NA	NA	NA	NA	0	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
1448271	NA	NA	NA	35	NA	NA	4511824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
551995	-0.6989700043360187	-0.3010299956639812	NA	NA	28	NA	8225572	NA	NA	NA	NA	0	0	0	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
1431962	NA	NA	NA	32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
530584	NA	NA	NA	28	32.5	7	6984590.667	67.608	6374	3	47	1	1	0	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
1499687	NA	NA	NA	NA	NA	NA	3357017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
47959	-0.5228787452803376	-0.045757490560675115	NA	43	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
244734	NA	NA	NA	28	28	7.25	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	0	0
766497	NA	NA	NA	28	30	8	NA	NA	NA	NA	NA	NA	1	NA	NA	0	0	1	NA	NA	NA	0	0	0	1	0	0
933941	NA	NA	NA	28	32.5	7	NA	NA	NA	NA	NA	NA	1	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
1629715	NA	NA	NA	NA	NA	NA	4174027	47.988575	NA	NA	NA	NA	NA	NA	NA	0	1	0	0	0	1	NA	NA	NA	NA	NA	NA
1155536	NA	NA	NA	28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
102226	NA	NA	NA	28	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
191389	NA	NA	NA	18	15	7	2775399	59.2	NA	NA	NA	1	0	0	NA	0	0	1	NA	NA	NA	0	0	0	0	1	0
256618	-0.6989700043360187	-0.09691001300805639	NA	30	30	NA	3914744	62.3	3632	1	45	0	0	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
511108	NA	NA	NA	28	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
564137	NA	NA	NA	NA	NA	NA	4250016	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
985250	NA	NA	NA	37	NA	NA	4401070	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
1076124	NA	NA	NA	28	28	8	NA	NA	NA	NA	NA	NA	1	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
86171	-0.3010299956639812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
